Timestamp,Level of certainty about your guess.,Outcome
9/28/2023 9:23:34,6,Correct
9/28/2023 9:23:59,8,Incorrect
9/28/2023 9:24:42,7,Correct
9/28/2023 9:24:44,7,Incorrect
9/28/2023 9:24:47,5,Correct
9/28/2023 9:25:24,6,Correct
9/28/2023 9:25:44,8,Incorrect
9/28/2023 9:25:49,9,Correct
9/28/2023 9:25:49,7,Correct
9/28/2023 9:25:51,7,Correct
9/28/2023 9:25:51,5,Incorrect
9/28/2023 9:25:53,9,Correct
9/28/2023 9:25:54,5,Incorrect
9/28/2023 9:25:58,7,Correct
9/28/2023 9:26:01,3,Incorrect
9/28/2023 9:26:05,10,Correct
9/28/2023 9:26:09,8,Incorrect
9/28/2023 9:26:12,9,Correct
9/28/2023 9:26:12,10,Correct
9/28/2023 9:26:12,3,Incorrect
9/28/2023 9:26:13,8,Correct
9/28/2023 9:26:18,10,Correct
9/28/2023 9:26:28,7,Incorrect
9/28/2023 9:26:29,6,Incorrect
9/28/2023 9:26:38,8,Incorrect
9/28/2023 9:26:40,5,Correct
9/28/2023 9:26:53,10,Incorrect
9/28/2023 9:26:57,10,Incorrect
9/28/2023 9:26:58,5,Incorrect
9/28/2023 9:27:02,3,Incorrect
9/28/2023 9:27:17,3,Incorrect
9/28/2023 9:27:21,3,Incorrect
9/28/2023 9:27:21,9,Correct
9/28/2023 9:27:21,3,Correct
9/28/2023 9:27:28,8,Incorrect
9/28/2023 9:27:28,6,Incorrect
9/28/2023 9:27:36,9,Correct
9/28/2023 9:27:36,6,Incorrect
9/28/2023 9:27:40,6,Correct
9/28/2023 9:27:43,8,Correct
9/28/2023 9:27:43,9,Correct
9/28/2023 9:27:44,8,Incorrect
9/28/2023 9:27:44,7,Incorrect
9/28/2023 9:27:46,10,Correct
9/28/2023 9:27:46,7,Incorrect
9/28/2023 9:27:47,6,Incorrect
9/28/2023 9:27:50,3,Incorrect
9/28/2023 9:27:53,7,Incorrect
9/28/2023 9:27:58,10,Correct
9/28/2023 9:28:03,8,Incorrect
9/28/2023 9:28:08,10,Correct
9/28/2023 9:28:10,6,Correct
9/28/2023 9:28:16,8,Correct
9/28/2023 9:28:20,10,Incorrect
9/28/2023 9:28:25,5,Incorrect
9/28/2023 9:28:35,10,Correct
9/28/2023 9:28:39,4,Incorrect
9/28/2023 9:28:43,4,Incorrect
9/28/2023 9:28:43,6,Incorrect
9/28/2023 9:28:47,8,Incorrect
9/28/2023 9:28:52,7,Correct
9/28/2023 9:28:54,6,Incorrect
9/28/2023 9:28:55,5,Incorrect
9/28/2023 9:29:04,10,Correct
9/28/2023 9:29:04,8,Incorrect
9/28/2023 9:29:05,2,Correct
9/28/2023 9:29:10,8,Incorrect
9/28/2023 9:29:11,8,Incorrect
9/28/2023 9:29:15,5,Correct
9/28/2023 9:29:17,4,Incorrect
9/28/2023 9:29:18,6,Incorrect
9/28/2023 9:29:19,3,Incorrect
9/28/2023 9:29:23,7,Incorrect
9/28/2023 9:29:24,7,Correct
9/28/2023 9:29:26,10,Correct
9/28/2023 9:29:28,7,Correct
9/28/2023 9:29:28,8,Correct
9/28/2023 9:29:33,9,Incorrect
9/28/2023 9:29:34,6,Incorrect
9/28/2023 9:29:35,8,Correct
9/28/2023 9:29:36,6,Incorrect
9/28/2023 9:29:36,7,Incorrect
9/28/2023 9:29:40,5,Correct
9/28/2023 9:29:44,5,Correct
9/28/2023 9:29:55,2,Correct
9/28/2023 9:30:01,7,Incorrect
9/28/2023 9:30:12,7,Correct
9/28/2023 9:30:12,3,Incorrect
9/28/2023 9:30:17,8,Correct
9/28/2023 9:30:18,6,Correct
9/28/2023 9:30:22,4,Incorrect
9/28/2023 9:30:23,6,Incorrect
9/28/2023 9:30:27,4,Incorrect
9/28/2023 9:30:33,10,Incorrect
9/28/2023 9:30:34,8,Correct
9/28/2023 9:30:38,7,Incorrect
9/28/2023 9:30:38,10,Incorrect
9/28/2023 9:30:42,10,Correct
9/28/2023 9:30:44,10,Correct
9/28/2023 9:30:50,8,Incorrect
9/28/2023 9:31:02,7,Incorrect
9/28/2023 9:31:04,6,Incorrect
9/28/2023 9:31:27,8,Incorrect
9/28/2023 9:31:37,8,Correct
9/28/2023 9:31:47,6,Correct
9/28/2023 9:31:51,3,Correct
9/28/2023 9:31:53,5,Correct
9/28/2023 9:31:58,4,Correct
9/28/2023 9:32:14,3,Correct
9/28/2023 9:32:19,3,Incorrect
9/28/2023 9:32:23,6,Incorrect
9/28/2023 9:32:34,2,Incorrect
9/28/2023 9:32:36,8,Incorrect
9/28/2023 9:32:36,8,Incorrect
9/28/2023 9:32:37,3,Correct
9/28/2023 9:32:39,6,Correct
9/28/2023 9:32:39,5,Incorrect
9/28/2023 9:32:55,6,Incorrect
9/28/2023 9:33:11,4,Incorrect
9/28/2023 9:33:11,7,Correct
9/28/2023 9:33:12,2,Incorrect
9/28/2023 9:33:22,7,Correct
9/28/2023 9:33:22,7,Incorrect
9/28/2023 9:33:28,5,Incorrect
9/28/2023 9:33:30,10,Incorrect
9/28/2023 9:33:36,9,Correct
9/28/2023 9:35:15,9,Incorrect
9/28/2023 9:35:18,7,Incorrect
9/28/2023 9:36:09,5,Incorrect
