track_id,callsign,trajectory_number,ssr_code,depart airport,landing airport,longitude,latitude,altitude,speed,actual_over_time,acf_type,wake_turbulance_grade
148996166,CDG4839,99,6742,ZBSJ,ZJHK,111.3538545,28.2366765,9784.08,771.1424577,2019/12/13 12:26,B738,M
148996897,CCA4530,315,2776,ZSNB,ZUUU,111.3023722,28.6849755,8412.48,729.0622196,2019/12/13 12:26,A321,M
148997094,CCD8941,1867,65,ZBYC,ZJHK,111.3546324,28.5354799,9784.08,779.9677493,2019/12/13 12:26,B738,M
148997120,CES2481,624,6407,ZPPP,ZHHH,109.4897354,28.5041839,9479.28,945.0531414,2019/12/13 12:26,B738,M
148997601,CSN6425,1092,4233,ZHHH,ZPPP,110.0609547,28.884902,9174.48,701.6075826,2019/12/13 12:26,A320,M
148998279,CBG8855,349,3471,ZGNN,ZHXY,111.6056496,29.0448743,8107.68,768.6363575,2019/12/13 12:26,E190,M
148998423,CES2874,2165,1567,ZUTR,ZSNJ,111.5527403,29.2309821,8869.68,905.4876697,2019/12/13 12:26,A319,M
148998465,CSC8117,2637,6423,ZPPP,ZSNJ,111.0278213,29.0468216,9486.9,976.5165897,2019/12/13 12:26,A320,M
148998655,CSN3793,2155,4534,ZGSZ,ZLXY,109.7301471,29.3714064,8107.68,859.8961914,2019/12/13 12:26,B738,M
148998908,CSC8932,1456,7037,ZSWZ,ZUUU,109.4365096,29.3983626,8412.48,702.2382288,2019/12/13 12:26,A321,M
148999123,CCA1462,2026,3530,ZUGY,ZBAA,109.7040009,29.3983412,9479.28,825.2077375,2019/12/13 12:26,A321,M
149003225,LKE9900,578,7034,ZSWZ,ZPPP,111.562112,27.9943657,9174.48,703.1805458,2019/12/13 12:26,B738,M
149003784,CSC8992,612,6303,ZSHC,ZUUU,112.0800573,28.1826836,9174.48,718.454842,2019/12/13 12:26,A21N,M
149002041,LKE9900,578,7034,ZSWZ,ZPPP,111.5526062,27.9919678,9174.48,703.4252839,2019/12/13 12:26,B738,M
149002535,CSC8992,612,6303,ZSHC,ZUUU,112.0713562,28.1881714,9174.48,723.1352985,2019/12/13 12:26,A21N,M
149003292,CDG4839,99,6742,ZBSJ,ZJHK,111.3506305,28.2274121,9784.08,771.1424577,2019/12/13 12:26,B738,M
