id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
27188,ZBAA,large_airport,Beijing Capital International Airport,40.08010101,116.5849991,116,AS,China,CN,Beijing Municipality,CN-11,11,Beijing,1,ZBAA,PEK,,,,,,,,,,,,,,,,,,,,,,,
27223,ZSPD,large_airport,Shanghai Pudong International Airport,31.1434,121.805,13,AS,China,CN,Shanghai Municipality,CN-31,31,Shanghai (Pudong),1,ZSPD,PVG,,,,,,,,,,,,,,,,,,,,,,,
27225,ZSSS,large_airport,Shanghai Hongqiao International Airport,31.198104,121.33426,10,AS,China,CN,Shanghai Municipality,CN-31,31,Shanghai (Minhang),1,ZSSS,SHA,,,,,,,,,,,,,,,,,,,,,,,
27194,ZGGG,large_airport,Guangzhou Baiyun International Airport,23.392401,113.299004,50,AS,China,CN,Guangdong Province,CN-44,44,Guangzhou (Huadu),1,ZGGG,CAN,,,,,,,,,,,,,,,,,,,,,,,
27205,ZLXY,large_airport,Xi'an Xianyang International Airport,34.447102,108.751999,1572,AS,China,CN,Shaanxi Province,CN-61,61,Xianyang (Weicheng),1,ZLXY,XIY,,,,,,,,,,,,,,,,,,,,,,,
27230,ZUUU,large_airport,Chengdu Shuangliu International Airport,30.558257,103.945966,1625,AS,China,CN,Sichuan Province,CN-51,51,Chengdu (Shuangliu),1,ZUUU,CTU,,,,,,,,,,,,,,,,,,,,,,,
27198,ZGSZ,large_airport,Shenzhen Bao'an International Airport,22.639299,113.810997,13,AS,China,CN,Guangdong Province,CN-44,44,Shenzhen (Bao'an),1,ZGSZ,SZX,,,,,,,,,,,,,,,,,,,,,,,
27214,ZPPP,large_airport,Kunming Changshui International Airport,25.110313,102.936743,6903,AS,China,CN,Yunnan Province,CN-53,53,Kunming,1,ZPPP,KMG,,,,,,,,,,,,,,,,,,,,,,,
27215,ZSAM,large_airport,Xiamen Gaoqi International Airport,24.54400063,118.1279984,59,AS,China,CN,Fujian Province,CN-35,35,Xiamen,1,ZSAM,XMN,,,,,,,,,,,,,,,,,,,,,,,
27218,ZSHC,large_airport,Hangzhou Xiaoshan International Airport,30.23609,120.428865,23,AS,China,CN,Zhejiang Province,CN-33,33,Hangzhou,1,ZSHC,HGH,,,,,,,,,,,,,,,,,,,,,,,
27228,ZUCK,large_airport,Chongqing Jiangbei International Airport,29.712254,106.651895,1365,AS,China,CN,Chongqing Municipality,CN-50,50,Chongqing,1,ZUCK,CKG,,,,,,,,,,,,,,,,,,,,,,,
27200,ZHHH,large_airport,Wuhan Tianhe International Airport,30.774798,114.213723,113,AS,China,CN,Hubei Province,CN-42,42,Wuhan (Huangpi),1,ZHHH,WUH,,,,,,,,,,,,,,,,,,,,,,,
